2026-04-20 00:09:37,370 | DEBUG | jarvis | Available tools: [{'name': 'open_url', 'description': 'Открывает указанный URL в браузере по умолчанию.', 'risk_level': 'safe'}, {'name': 'browser_search', 'description': 'Открывает поиск Google по переданному запросу.', 'risk_level': 'safe'}, {'name': 'create_file', 'description': 'Создаёт текстовый файл в рабочей папке ассистента.', 'risk_level': 'confirm'}, {'name': 'open_file', 'description': 'Открывает текстовый файл из рабочей папки и читает его содержимое.', 'risk_level': 'safe'}, {'name': 'edit_file', 'description': 'Изменяет текстовый файл в рабочей папке ассистента.', 'risk_level': 'confirm'}, {'name': 'get_weather', 'description': 'Получает текущую погоду из интернета по названию города.', 'risk_level': 'safe'}, {'name': 'get_programming_news', 'description': 'Получает свежие новости программирования.', 'risk_level': 'safe'}, {'name': 'music_control', 'description': 'Управляет музыкой: ищет длинные видео на YouTube, ставит на паузу, переключает треки и меняет громкость.', 'risk_level': 'safe'}, {'name': 'window_control', 'description': 'Управляет окнами Windows: сворачивает все окна, восстанавливает свернутые окна и показывает рабочий стол.', 'risk_level': 'safe'}, {'name': 'system_power', 'description': 'Управляет питанием Windows: переводит компьютер в сон или выключает его.', 'risk_level': 'confirm'}, {'name': 'delete_file', 'description': 'Удаляет файл из рабочей папки ассистента.', 'risk_level': 'dangerous'}]
2026-04-20 00:12:15,128 | DEBUG | jarvis | Available tools: [{'name': 'open_url', 'description': 'Открывает указанный URL в браузере по умолчанию.', 'risk_level': 'safe'}, {'name': 'browser_search', 'description': 'Открывает поиск Google по переданному запросу.', 'risk_level': 'safe'}, {'name': 'create_file', 'description': 'Создаёт текстовый файл в рабочей папке ассистента.', 'risk_level': 'confirm'}, {'name': 'open_file', 'description': 'Открывает текстовый файл из рабочей папки и читает его содержимое.', 'risk_level': 'safe'}, {'name': 'edit_file', 'description': 'Изменяет текстовый файл в рабочей папке ассистента.', 'risk_level': 'confirm'}, {'name': 'get_weather', 'description': 'Получает текущую погоду из интернета по названию города.', 'risk_level': 'safe'}, {'name': 'get_programming_news', 'description': 'Получает свежие новости программирования.', 'risk_level': 'safe'}, {'name': 'music_control', 'description': 'Управляет музыкой: ищет длинные видео на YouTube, ставит на паузу, переключает треки и меняет громкость.', 'risk_level': 'safe'}, {'name': 'window_control', 'description': 'Управляет окнами Windows: сворачивает все окна, восстанавливает свернутые окна и показывает рабочий стол.', 'risk_level': 'safe'}, {'name': 'system_power', 'description': 'Управляет питанием Windows: переводит компьютер в сон или выключает его.', 'risk_level': 'confirm'}, {'name': 'delete_file', 'description': 'Удаляет файл из рабочей папки ассистента.', 'risk_level': 'dangerous'}]
2026-04-20 00:12:33,466 | INFO | jarvis | Received user input: Джарвис Хорошая работа До встречи
2026-04-20 00:12:33,467 | INFO | jarvis | User said: Джарвис Хорошая работа До встречи
2026-04-20 00:12:33,468 | DEBUG | jarvis | Assistant response: Спасибо. Перевести ноутбук в сон или выключить его?
2026-04-20 00:20:33,611 | DEBUG | jarvis | Available tools: [{'name': 'open_url', 'description': 'Открывает указанный URL в браузере по умолчанию.', 'risk_level': 'safe'}, {'name': 'browser_search', 'description': 'Открывает поиск Google по переданному запросу.', 'risk_level': 'safe'}, {'name': 'create_file', 'description': 'Создаёт текстовый файл в рабочей папке ассистента.', 'risk_level': 'confirm'}, {'name': 'open_file', 'description': 'Открывает текстовый файл из рабочей папки и читает его содержимое.', 'risk_level': 'safe'}, {'name': 'edit_file', 'description': 'Изменяет текстовый файл в рабочей папке ассистента.', 'risk_level': 'confirm'}, {'name': 'get_weather', 'description': 'Получает текущую погоду из интернета по названию города.', 'risk_level': 'safe'}, {'name': 'get_programming_news', 'description': 'Получает свежие новости программирования.', 'risk_level': 'safe'}, {'name': 'music_control', 'description': 'Управляет музыкой: ищет длинные видео на YouTube, ставит на паузу, переключает треки и меняет громкость.', 'risk_level': 'safe'}, {'name': 'window_control', 'description': 'Управляет окнами Windows: сворачивает все окна, восстанавливает свернутые окна и показывает рабочий стол.', 'risk_level': 'safe'}, {'name': 'system_power', 'description': 'Управляет питанием Windows: переводит компьютер в сон или выключает его.', 'risk_level': 'confirm'}, {'name': 'delete_file', 'description': 'Удаляет файл из рабочей папки ассистента.', 'risk_level': 'dangerous'}]
2026-04-20 00:22:29,839 | DEBUG | jarvis | Available tools: [{'name': 'open_url', 'description': 'Открывает указанный URL в браузере по умолчанию.', 'risk_level': 'safe'}, {'name': 'browser_search', 'description': 'Открывает поиск Google по переданному запросу.', 'risk_level': 'safe'}, {'name': 'create_file', 'description': 'Создаёт текстовый файл в рабочей папке ассистента.', 'risk_level': 'confirm'}, {'name': 'open_file', 'description': 'Открывает текстовый файл из рабочей папки и читает его содержимое.', 'risk_level': 'safe'}, {'name': 'edit_file', 'description': 'Изменяет текстовый файл в рабочей папке ассистента.', 'risk_level': 'confirm'}, {'name': 'get_weather', 'description': 'Получает текущую погоду из интернета по названию города.', 'risk_level': 'safe'}, {'name': 'get_programming_news', 'description': 'Получает свежие новости программирования.', 'risk_level': 'safe'}, {'name': 'music_control', 'description': 'Управляет музыкой: ищет длинные видео на YouTube, ставит на паузу, переключает треки и меняет громкость.', 'risk_level': 'safe'}, {'name': 'window_control', 'description': 'Управляет окнами Windows: сворачивает все окна, восстанавливает свернутые окна и показывает рабочий стол.', 'risk_level': 'safe'}, {'name': 'system_power', 'description': 'Управляет питанием Windows: переводит компьютер в сон или выключает его.', 'risk_level': 'confirm'}, {'name': 'delete_file', 'description': 'Удаляет файл из рабочей папки ассистента.', 'risk_level': 'dangerous'}]
2026-04-20 00:22:47,615 | INFO | jarvis | Received user input: курс доллара
2026-04-20 00:22:47,615 | INFO | jarvis | User said: курс доллара
2026-04-20 00:23:15,364 | INFO | jarvis | Brain decision: {"decision_type": "respond", "response_text": "Пожалуйста, уточните, нужен ли вам конкретный курс (например, USD/RUB) или вы хотите получить общий курсовую информацию?", "tool_name": null, "tool_args": {}, "requires_confirmation": false}
2026-04-20 00:23:15,364 | INFO | jarvis | Assistant understood: {"decision_type": "respond", "response_text": "Пожалуйста, уточните, нужен ли вам конкретный курс (например, USD/RUB) или вы хотите получить общий курсовую информацию?", "tool_name": null, "tool_args": {}, "requires_confirmation": false}
